uk;V1_1;V1_2;V1_3;V1_4;V1_5;V1_6;V1_7;V1_8;V1_9;V1_10;V1_11;V1_12;V1_13;V1_14;V1_15;V1_16;V1_17;V1_18;V1_19;V1_20;V1_21
"mets";0;-0.1;-0.2;-0.3;-0.4;-0.5;-0.6;-0.7;-0.8;-0.9;-1;-1.1;-1.2;-1.3;-1.4;-1.5;-1.6;-1.7;-1.8;-1.9;-2
"2og_t";0.0624818867545398;0.0689773425258953;0.0754727982972431;0.081968254068591;0.087987256906645;0.087987256906645;0.087987256906645;0.0879872569066247;0.087987256906637;0.0879872569066363;0.0879872569066378;0.0879872569066226;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645
"2os_t";0.0624818867545475;0.0689773425258953;0.0754727982972431;0.081968254068591;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645
"4a-hthbp_t";0.0624818867545801;0.0689773425259057;0.0754727982972598;0.081968254068605;0.0879872569067799;0.0879872569067706;0.0879872569067706;0.0879872569067799;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645
"7dclr_t";0.0624818867545475;0.0689773425258953;0.0754727982972431;0.081968254068591;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645
"AACCOAT";0.0624651440677513;0.0689605998390991;0.0754560556104469;0.0819515113817947;0.0879707275680271;0.0879707275680271;0.0879707275680271;0.0879707275680271;0.0879707275680271;0.0879707275680271;0.0879707275680271;0.0879707275679373;0.0879707275681364;0.0879707275681232;0.0879707275681443;0.0879707275681245;0.0879707275681338;0.0879707275681443;0.0879707275681305;0.0879707275681344;0.0879707275681278
"AAT_1";0.0624818867545096;0.0689773425259061;0.0754727982972627;0.0819682540686046;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066615;0.0879872569066615
"AAT_2";0.0624818867545475;0.0689773425258953;0.0754727982972431;0.081968254068591;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.0879872569066924;0.0879872569066828;0.0879872569066864;0.0879872569066876;0.0879872569066832;0.0879872569067146;0.0879872569067153;0.0879872569066817;0.0879872569066817;0.0879872569066764;0.0879872569066764;0.0879872569066757;0.0879872569067086
"AAT_3";0.0624651440677513;0.0689605998390991;0.0754560556104469;0.0819515113817947;0.0879707275680271;0.0879707275680271;0.0879707275680271;0.0879707275680271;0.0879707275680271;0.0879707275680271;0.0879707275680271;0.0879707275679373;0.0879707275681364;0.0879707275681232;0.0879707275681443;0.0879707275681245;0.0879707275681338;0.0879707275681443;0.0879707275681305;0.0879707275681344;0.0879707275681278
"ABTA";0.0624818867545475;0.0689773425258953;0.0754727982972431;0.081968254068591;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645
"ACACDL";0.0624818867545475;0.0689773425258953;0.0754727982972431;0.081968254068591;0.087987256906645;0.087987256906645;0.087987256906645;0.087987256906645;0.0879872569066924;0.0879872569066828;0.0879872569066864;0.0879872569066876;0.0879872569066832;0.0879872569067146;0.0879872569067153;0.0879872569066817;0.0879872569066817;0.0879872569066764;0.0879872569066764;0.0879872569066757;0.0879872569067086
