Var1;S1_1;S1_2;S1_3;S1_4;S1_5;S1_6;S1_7;S1_8;S1_9;S1_10;S1_11;S1_12;S1_13;S1_14;S1_15;S1_16;S1_17;S1_18;S1_19;S1_20;S1_21
"metabolite";0;-0.1;-0.2;-0.3;-0.4;-0.5;-0.6;-0.7;-0.8;-0.9;-1;-1.1;-1.2;-1.3;-1.4;-1.5;-1.6;-1.7;-1.8;-1.9;-2
"L-Lysine";1.81636836719183e-05;1.81636836719183e-05;1.81636836719183e-05;1.81636836719183e-05;1.81636836719183e-05;1.81636836719183e-05;1.81636836719183e-05;1.81636836719183e-05;1.81636836719183e-05;1.81636836719183e-05;1.81636836719183e-05;1.81636836719183e-05;1.81636836719183e-05;1.81636836719183e-05;1.81636836719183e-05;1.81636836719183e-05;1.81636836719183e-05;1.81636836719183e-05;1.81636836719183e-05;1.81636836719183e-05;1.81636836719183e-05
"L-Valine";0.000141395977863603;0.000141395977863603;0.000141395977863603;0.000141395977863603;0.000141395977863603;0.000141395977863603;0.000141395977863603;0.000141395977863603;0.000141395977863603;0.000141395977863603;0.000141395977863603;0.000141395977863603;0.000141395977863603;0.000141395977863603;0.000141395977863603;0.000141395977863603;0.000141395977863603;0.000141395977863603;0.000141395977863603;0.000141395977863603;0.000141395977863603
"L-Leucine";0.000376394670933535;0.000376394670933535;0.000376394670933535;0.000376394670933535;0.000376394670933535;0.000376394670933535;0.000376394670933535;0.000376394670933535;0.000376394670933535;0.000376394670933535;0.000376394670933535;0.000376394670933535;0.000376394670933535;0.000376394670933535;0.000376394670933535;0.000376394670933535;0.000376394670933535;0.000376394670933535;0.000376394670933535;0.000376394670933535;0.000376394670933535
"L-Isoleucine";0.000243234582606304;0.000243234582606304;0.000243234582606304;0.000243234582606304;0.000243234582606304;0.000243234582606304;0.000243234582606304;0.000243234582606304;0.000243234582606304;0.000243234582606304;0.000243234582606304;0.000243234582606304;0.000243234582606304;0.000243234582606304;0.000243234582606304;0.000243234582606304;0.000243234582606304;0.000243234582606304;0.000243234582606304;0.000243234582606304;0.000243234582606304
"L-Threonine";3.85342582854613e-05;3.85342582854613e-05;3.85342582854613e-05;3.85342582854613e-05;3.85342582854613e-05;3.85342582854613e-05;3.85342582854613e-05;3.85342582854613e-05;3.85342582854613e-05;3.85342582854613e-05;3.85342582854613e-05;3.85342582854613e-05;3.85342582854613e-05;3.85342582854613e-05;3.85342582854613e-05;3.85342582854613e-05;3.85342582854613e-05;3.85342582854613e-05;3.85342582854613e-05;3.85342582854613e-05;3.85342582854613e-05
"Glycine";0.000113220468399757;0.000113220468399757;0.000113220468399757;0.000113220468399757;0.000113220468399757;0.000113220468399757;0.000113220468399757;0.000113220468399757;0.000113220468399757;0.000113220468399757;0.000113220468399757;0.000113220468399757;0.000113220468399757;0.000113220468399757;0.000113220468399757;0.000113220468399757;0.000113220468399757;0.000113220468399757;0.000113220468399757;0.000113220468399757;0.000113220468399757
"L-Alanine";4.4032331428499e-05;4.4032331428499e-05;4.4032331428499e-05;4.4032331428499e-05;4.4032331428499e-05;4.4032331428499e-05;4.4032331428499e-05;4.4032331428499e-05;4.4032331428499e-05;4.4032331428499e-05;4.4032331428499e-05;4.4032331428499e-05;4.4032331428499e-05;4.4032331428499e-05;4.4032331428499e-05;4.4032331428499e-05;4.4032331428499e-05;4.4032331428499e-05;4.4032331428499e-05;4.4032331428499e-05;4.4032331428499e-05
"L-Glutamine";-7.84705148959836e-06;-7.84705148959836e-06;-7.84705148959836e-06;-7.84705148959836e-06;-7.84705148959836e-06;-7.84705148959836e-06;-7.84705148959836e-06;-7.84705148959836e-06;-7.84705148959836e-06;-7.84705148959836e-06;-7.84705148959836e-06;-7.84705148959836e-06;-7.84705148959836e-06;-7.84705148959836e-06;-7.84705148959836e-06;-7.84705148959836e-06;-7.84705148959836e-06;-7.84705148959836e-06;-7.84705148959836e-06;-7.84705148959836e-06;-7.84705148959836e-06
"L-Proline";5.99230405585322e-05;5.99230405585322e-05;5.99230405585322e-05;5.99230405585322e-05;5.99230405585322e-05;5.99230405585322e-05;5.99230405585322e-05;5.99230405585322e-05;5.99230405585322e-05;5.99230405585322e-05;5.99230405585322e-05;5.99230405585322e-05;5.99230405585322e-05;5.99230405585322e-05;5.99230405585322e-05;5.99230405585322e-05;5.99230405585322e-05;5.99230405585322e-05;5.99230405585322e-05;5.99230405585322e-05;5.99230405585322e-05
"L-Asparagine";0.000208387732429281;0.000208387732429281;0.000208387732429281;0.000208387732429281;0.000208387732429281;0.000208387732429281;0.000208387732429281;0.000208387732429281;0.000208387732429281;0.000208387732429281;0.000208387732429281;0.000208387732429281;0.000208387732429281;0.000208387732429281;0.000208387732429281;0.000208387732429281;0.000208387732429281;0.000208387732429281;0.000208387732429281;0.000208387732429281;0.000208387732429281
"L-Methionine";5.20832539603184e-05;5.20832539603184e-05;5.20832539603184e-05;5.20832539603184e-05;5.20832539603184e-05;5.20832539603184e-05;5.20832539603184e-05;5.20832539603184e-05;5.20832539603184e-05;5.20832539603184e-05;5.20832539603184e-05;5.20832539603184e-05;5.20832539603184e-05;5.20832539603184e-05;5.20832539603184e-05;5.20832539603184e-05;5.20832539603184e-05;5.20832539603184e-05;5.20832539603184e-05;5.20832539603184e-05;5.20832539603184e-05
"L-Tyrosine";0.000280710058646234;0.000280710058646234;0.000280710058646234;0.000280710058646234;0.000280710058646234;0.000280710058646234;0.000280710058646234;0.000280710058646234;0.000280710058646234;0.000280710058646234;0.000280710058646234;0.000280710058646234;0.000280710058646234;0.000280710058646234;0.000280710058646234;0.000280710058646234;0.000280710058646234;0.000280710058646234;0.000280710058646234;0.000280710058646234;0.000280710058646234
"L-Histidine";9.63363053390158e-05;9.63363053390158e-05;9.63363053390158e-05;9.63363053390158e-05;9.63363053390158e-05;9.63363053390158e-05;9.63363053390158e-05;9.63363053390158e-05;9.63363053390158e-05;9.63363053390158e-05;9.63363053390158e-05;9.63363053390158e-05;9.63363053390158e-05;9.63363053390158e-05;9.63363053390158e-05;9.63363053390158e-05;9.63363053390158e-05;9.63363053390158e-05;9.63363053390158e-05;9.63363053390158e-05;9.63363053390158e-05
"Phosphate ";5.84496153678749e-05;5.84496153678749e-05;5.84496153678749e-05;5.84496153678749e-05;5.84496153678749e-05;5.84496153678749e-05;5.84496153678749e-05;5.84496153678749e-05;5.84496153678749e-05;5.84496153678749e-05;5.84496153678749e-05;5.84496153678749e-05;5.84496153678749e-05;5.84496153678749e-05;5.84496153678749e-05;5.84496153678749e-05;5.84496153678749e-05;5.84496153678749e-05;5.84496153678749e-05;5.84496153678749e-05;5.84496153678749e-05
"Dihydroxyacetone phosphate";9.60668929066179e-05;9.60668929066179e-05;9.60668929066179e-05;9.60668929066179e-05;9.60668929066179e-05;9.60668929066179e-05;9.60668929066179e-05;9.60668929066179e-05;9.60668929066179e-05;9.60668929066179e-05;9.60668929066179e-05;9.60668929066179e-05;9.60668929066179e-05;9.60668929066179e-05;9.60668929066179e-05;9.60668929066179e-05;9.60668929066179e-05;9.60668929066179e-05;9.60668929066179e-05;9.60668929066179e-05;9.60668929066179e-05
"D-Ribose";-3.5711961878515e-06;-3.5711961878515e-06;-3.5711961878515e-06;-3.5711961878515e-06;-3.5711961878515e-06;-3.5711961878515e-06;-3.5711961878515e-06;-3.5711961878515e-06;-3.5711961878515e-06;-3.5711961878515e-06;-3.5711961878515e-06;-3.5711961878515e-06;-3.5711961878515e-06;-3.5711961878515e-06;-3.5711961878515e-06;-3.5711961878515e-06;-3.5711961878515e-06;-3.5711961878515e-06;-3.5711961878515e-06;-3.5711961878515e-06;-3.5711961878515e-06
"D-Glucose";3.24962937775543e-06;3.24962937775543e-06;3.24962937775543e-06;3.24962937775543e-06;3.24962937775543e-06;3.24962937775543e-06;3.24962937775543e-06;3.24962937775543e-06;3.24962937775543e-06;3.24962937775543e-06;3.24962937775543e-06;3.24962937775543e-06;3.24962937775543e-06;3.24962937775543e-06;3.24962937775543e-06;3.24962937775543e-06;3.24962937775543e-06;3.24962937775543e-06;3.24962937775543e-06;3.24962937775543e-06;3.24962937775543e-06
"myo-Inositol";0.000145051128861785;0.000145051128861785;0.000145051128861785;0.000145051128861785;0.000145051128861785;0.000145051128861785;0.000145051128861785;0.000145051128861785;0.000145051128861785;0.000145051128861785;0.000145051128861785;0.000145051128861785;0.000145051128861785;0.000145051128861785;0.000145051128861785;0.000145051128861785;0.000145051128861785;0.000145051128861785;0.000145051128861785;0.000145051128861785;0.000145051128861785
"Hypoxanthine ";2.07116475672442e-06;2.07116475672442e-06;2.07116475672442e-06;2.07116475672442e-06;2.07116475672442e-06;2.07116475672442e-06;2.07116475672442e-06;2.07116475672442e-06;2.07116475672442e-06;2.07116475672442e-06;2.07116475672442e-06;2.07116475672442e-06;2.07116475672442e-06;2.07116475672442e-06;2.07116475672442e-06;2.07116475672442e-06;2.07116475672442e-06;2.07116475672442e-06;2.07116475672442e-06;2.07116475672442e-06;2.07116475672442e-06
"Adenine ";3.23615215196537e-06;3.23615215196537e-06;3.23615215196537e-06;3.23615215196537e-06;3.23615215196537e-06;3.23615215196537e-06;3.23615215196537e-06;3.23615215196537e-06;3.23615215196537e-06;3.23615215196537e-06;3.23615215196537e-06;3.23615215196537e-06;3.23615215196537e-06;3.23615215196537e-06;3.23615215196537e-06;3.23615215196537e-06;3.23615215196537e-06;3.23615215196537e-06;3.23615215196537e-06;3.23615215196537e-06;3.23615215196537e-06
"D-Erythrose 4-phosphate";0.000296475766305357;0.000296475766305357;0.000296475766305357;0.000296475766305357;0.000296475766305357;0.000296475766305357;0.000296475766305357;0.000296475766305357;0.000296475766305357;0.000296475766305357;0.000296475766305357;0.000296475766305357;0.000296475766305357;0.000296475766305357;0.000296475766305357;0.000296475766305357;0.000296475766305357;0.000296475766305357;0.000296475766305357;0.000296475766305357;0.000296475766305357
