uk;gh
"2og_t";0.0879759278922503
"2os_t";0.0879759278922546
"4a-hthbp_t";0.0879759278922546
"7dclr_t";0.0879759278922546
"AACCOAT";0.0879593985536361
"AAT_1";0.0879759278922546
"AAT_2";0.0879759278922546
"AAT_3";0.0879593985536361
"ABTA";0.0879759278922546
"ACACDL";0.0879759278922546
"ACACT1r";0.0879759278922546
"ACADM";0.0879759278922546
"ACAOR";0.0879759278922546
"ACCOAL";0.0879759278922546
"ACONTa";0.0879759278922546
"ACONTb";0.0879759278922546
"ACPAT";0.0879759278922546
"ACS3";0.0879759278922546
"ADPase";0.0879759278922546
"ADSLR";0.0879759278922546
"ADSS";0.0879759278922546
"AF6P";0.0879759278922546
"AG3PPA";0.0879759278922546
"AGA";0.0879759278922546
"AGAT";0.0879759278922546
"AGC2AGC";0.0879759278922546
"AGMH1";0.0879759278922546
"AGMH2";0.0879759278922546
"AGPT";0.0879759278922546
"AGS";0.0879759278922546
"AGT_1";0.0879759278922546
"AHD";0.0879759278922546
"AKGDm";0
"ALOA";0.0624704115138236
"ALR1";0.0624704115138236
"ALR2";0.0879759278922546
"ALT";0.0879759278922546
"AMPD";0.0624704115138236
"AMPH";0.0624536688270409
"AMYTRA";0.0624704115138236
"AO";0.0624704115138236
"APPH";0.0879759278922546
"ARGAH";0.0879593985536367
"AS";0.0879593985536367
"ASL";0.0879593985536367
"ASP-LtoD";0.0879759278922546
"ASS";0.0879759278922546
"ATCase";0.0879759278922546
"ATPM";0.0879759278922546
"ATPS4r";0.0879759278922503
"BIOMASS";0.0879759278922546
"CAT";0.0879759278922546
"CBPS";0.0879759278922546
"CCT";0.0879759278922546
"CDA";0.0879759278922546
"CDP-DG";0.0879759278922546
"CDPINO";0.0879759278922546
"CDPk";0.0879759278922546
"CGL";0.0879759278922546
"CK";0.0879655999358416
"CMPL";0.0879759278922546
"CMPk";0.0879759278922546
"CO2_t";0.0879759278922546
"CO2_tm";0.0879759278922546
"CPT";0.0624704115139373
"CS";0.0879759278922546
"CTPS";0.0879759278922546
"CYSTS";0.00126365858076024
"DGA";0.0879759278922504
"DGK";0.0879759278922546
"DHLT";0.0879759278922546
"DHODH";0.0879759278922546
"DHOase";0.0879759278922546
"DPNH";0.0879759278922649
"DPP1";0
"DRBK";0.0879593985536367
"DRPA";0.0879759278922546
"DRPP";0.0879759278922546
"DSNGAH";0.0879759278922503
"D_LACt2";0.0879759278922546
"ECH";0.0879759278922546
"ENO";0.0879759278922546
"EX_2og(e)";0.0879593985536367
"EX_2os(e)";0.0879759278922546
