uk;gh
"2og_t";0.0879872569066469
"2os_t";0.087987256906645
"4a-hthbp_t";0.087987256906645
"7dclr_t";0.087987256906645
"AACCOAT";0.0879707275680246
"AAT_1";0.087987256906645
"AAT_2";0.087987256906645
"AAT_3";0.0879707275680246
"ABTA";0.087987256906645
"ACACDL";0.087987256906645
"ACACT1r";0.087987256906645
"ACADM";0.087987256906645
"ACAOR";0.087987256906645
"ACCOAL";0.0879872569066469
"ACONTa";0.087987256906645
"ACONTb";0.087987256906645
"ACPAT";0.087987256906645
"ACS3";0.087987256906645
"ADPase";0.087987256906645
"ADSLR";0.087987256906645
"ADSS";0.087987256906645
"AF6P";0.087987256906645
"AG3PPA";0.087987256906645
"AGA";0.087987256906645
"AGAT";0.087987256906645
"AGC2AGC";0.087987256906645
"AGMH1";0.087987256906645
"AGMH2";0.087987256906645
"AGPT";0.087987256906645
"AGS";0.087987256906645
"AGT_1";0.087987256906645
"AHD";0.087987256906645
"AKGDm";0
"ALOA";0.0624818867545475
"ALR1";0.0624818867545475
"ALR2";0.087987256906645
"ALT";0.087987256906645
"AMPD";0.0624818867545475
"AMPH";0.062465144067759
"AMYTRA";0.0624818867545475
"AO";0.0624818867545475
"APPH";0.087987256906645
"ARGAH";0.0879707275680391
"AS";0.0879707275680391
"ASL";0.0879707275680391
"ASP-LtoD";0.087987256906645
"ASS";0.087987256906645
"ATCase";0.0879872569066469
"ATPM";0.0879872569066469
"ATPS4r";0.087987256906645
"BIOMASS";0.087987256906645
"CAT";0.087987256906645
"CBPS";0.0879872569066469
"CCT";0.087987256906645
"CDA";0.0879872569066469
"CDP-DG";0.087987256906645
"CDPINO";0.0879872569066469
"CDPk";0.087987256906645
"CGL";0.087987256906645
"CK";0.0879709932025985
"CMPL";0.087987256906645
"CMPk";0.087987256906645
"CO2_t";0.087987256906645
"CO2_tm";0.087987256906645
"CPT";0.0624818867545475
"CS";0.087987256906645
"CTPS";0.087987256906645
"CYSTS";0.00240787582895712
"DGA";0.087987256906645
"DGK";0.087987256906645
"DHLT";0.087987256906645
"DHODH";0.087987256906645
"DHOase";0.087987256906645
"DPNH";0.087987256906645
"DPP1";0
"DRBK";0.0879707275680391
"DRPA";0.087987256906645
"DRPP";0.087987256906645
