uk;gh
"2og_t";0.0879947813967394
"2os_t";0.0879947813967394
"4a-hthbp_t";0.0879947813967394
"7dclr_t";0.0879947813967394
"AACCOAT";0.087978252058097
"AAT_1";0.087994781396734
"AAT_2";0.0879947813967394
"AAT_3";0.087978252058097
"ABTA";0.0879947813967394
"ACACDL";0.0879947813967394
"ACACT1r";0.0879947813967394
"ACADM";0.0879947813967394
"ACAOR";0.0879947813967394
"ACCOAL";0.0879947813967394
"ACONTa";0.0879947813967394
"ACONTb";0.0879947813967486
"ACPAT";0.0879947813967486
"ACS3";0.0879947813967394
"ADPase";0.0879947813967394
"ADSLR";0.0879947813967394
"ADSS";0.0879947813967394
"AF6P";0.0879947813967394
"AG3PPA";0.0879947813967394
"AGA";0.0879947813967394
"AGAT";0.087994781396734
"AGC2AGC";0.0879947813967394
"AGMH1";0.0879947813967394
"AGMH2";0.0879947813967394
"AGPT";0.0879947813967486
"AGS";0.087994781396734
"AGT_1";0.0879947813967394
"AHD";0.0879947813967394
"AKGDm";0
"ALOA";0.0624895083650585
"ALR1";0.0624895083650585
"ALR2";0.0879947813967394
"ALT";0.0879947813967393
"AMPD";0.0624895083650585
"AMPH";0.0624727656782616
"AMYTRA";0.0624895083650585
"AO";0.0624895083650585
"APPH";0.0879947813967394
"ARGAH";0.0879782520581262
"AS";0.0879782520581262
"ASL";0.0879782520581262
"ASP-LtoD";0.0879947813967394
"ASS";0.0879947813967394
"ATCase";0.0879947813967394
"ATPM";0.0879947813967394
"ATPS4r";0.0879947813967394
"BIOMASS";0.0879947813967394
"CAT";0.0879947813967394
"CBPS";0.0879947813967394
"CCT";0.0879947813967394
"CDA";0.0879947813967394
"CDP-DG";0.0879947813967394
"CDPINO";0.0879947813967394
"CDPk";0.0879947813967394
"CGL";0.0879947813967394
"CK";0.0879782520581214
"CMPL";0.0879947813967394
"CMPk";0.0879947813967393
"CO2_t";0.0879947813967394
"CO2_tm";0.0879947813967394
"CPT";0.0624895083649918
"CS";0.087994781396734
"CTPS";0.0879947813967394
"CYSTS";0.000418287254713879
"DGA";0.0879947813967394
"DGK";0.0879947813967394
"DHLT";0.0879947813967393
"DHODH";0.0879947813967394
"DHOase";0.0879947813967394
"DPNH";0.0879947813967393
"DPP1";0
"DRBK";0.0879782520581262
"DRPA";0.0879947813967394
"DRPP";0.0879947813967393
"DSNGAH";0.0879947813967394
"D_LACt2";0.0879947813967394
"ECH";0.0879947813967394
"ENO";0.0879947813967394
"EX_2og(e)";0.0879782520581262
"EX_2os(e)";0.0879947813967486
"EX_4a-hthbp(e)";0.0879782520581262
"EX_7dclr(e)";0.0879947813967393
"EX_L-args(e)";0.0879947813967486
"EX_L-cit(e)";0.0879947813967394
"EX_RIBFLV(e)";0.0879947813967486
"EX_Tre";0.0879947813967394
"EX_a(e)";0.0879947813967394
"EX_ac(e)";0.0879947813967393
"EX_accoa";0.0879947813967394
"EX_acp(e)";0.00234414176455599
"EX_agc(e)";0.0879947813967394
"EX_ala(e)";0.0879947813967394
"EX_arg(e)";0.0275626177697548
"EX_asn(e)";0.0879947813967394
"EX_asp(e)";0.0879947813967394
"EX_asuccin(e)";0.000418287254713879
"EX_choline(e)";0.00700118173493905
"EX_clr(e)";0.0879782520581214
"EX_co2";0.087994781396734
"EX_cys(e)";0.0879947813967394
