Var1;Var2;Var3
"L-Lysine";1.81636836719183e-05;0.0181636836719183
"L-Valine";0.000141395977863603;0.141395977863603
"L-Leucine";0.000376394670933535;0.376394670933535
"L-Isoleucine";0.000243234582606304;0.243234582606304
"L-Threonine";3.85342582854613e-05;0.0385342582854613
"Glycine";0.000113220468399757;0.113220468399757
"L-Alanine";4.4032331428499e-05;0.044032331428499
"L-Glutamine";-7.84705148959836e-06;-0.00784705148959836
"L-Proline";5.99230405585322e-05;0.0599230405585323
"L-Asparagine";0.000208387732429281;0.208387732429281
"L-Methionine";5.20832539603184e-05;0.0520832539603184
"L-Tyrosine";0.000280710058646234;0.280710058646234
"L-Histidine";9.63363053390158e-05;0.0963363053390158
"Phosphate ";5.84496153678749e-05;0.0584496153678749
"Dihydroxyacetone phosphate";9.60668929066179e-05;0.0960668929066179
"D-Ribose";-3.5711961878515e-06;-0.0035711961878515
"D-Glucose";3.24962937775543e-06;0.00324962937775543
"myo-Inositol";0.000145051128861785;0.145051128861785
"Hypoxanthine ";2.07116475672442e-06;0.00207116475672442
"Adenine ";3.23615215196537e-06;0.00323615215196537
"D-Erythrose 4-phosphate";0.000296475766305357;0.296475766305357
"Urea";2.40843435410512e-06;0.00240843435410512
"Uridine 5'-monophosphate";0.000145744829003801;0.145744829003801
