Var1;Var2;Var3
"L-Lysine";-0.00189503020821242;-1.89503020821242
"L-Valine";-6.4800197926867e-06;-0.0064800197926867
"L-Leucine";6.53858856425797e-05;0.0653858856425797
"L-Isoleucine";3.07297526452e-05;0.0307297526452
"L-Threonine";1.13615460074033e-06;0.00113615460074033
"Glycine";-1.99950157418701e-05;-0.0199950157418701
"L-Alanine";8.71449091557923e-05;0.0871449091557923
"L-Glutamine";-0.00336823834468611;-3.36823834468611
"L-Proline";-5.1646976793017e-06;-0.0051646976793017
"L-Asparagine";4.17332012235999e-06;0.00417332012235999
"L-Methionine";-2.76270837956421e-06;-0.00276270837956421
"L-Tyrosine";-2.71275856228142e-05;-0.0271275856228142
"L-Histidine";0.000275168915976474;0.275168915976474
"Phosphate ";0.000158754257926455;0.158754257926455
"Dihydroxyacetone phosphate";-8.78863493602967e-05;-0.0878863493602967
"D-Ribose";5.07115722687395e-06;0.00507115722687395
"D-Glucose";-0.0001578835837571;-0.1578835837571
"myo-Inositol";0.000292654905631224;0.292654905631224
"Hypoxanthine ";-0.000133157123393182;-0.133157123393182
"Adenine ";-1.5141029920724e-05;-0.015141029920724
"D-Erythrose 4-phosphate";-3.17164555530405e-05;-0.0317164555530405
"Urea";1.47961852826767e-05;0.0147961852826767
"Uridine 5'-monophosphate";1.19827556296117e-05;0.0119827556296117
