Var1;S1_1;S1_2;S1_3;S1_4;S1_5;S1_6;S1_7;S1_8;S1_9;S1_10;S1_11;S1_12;S1_13;S1_14;S1_15;S1_16;S1_17;S1_18;S1_19;S1_20;S1_21
"metabolite";0;-0.1;-0.2;-0.3;-0.4;-0.5;-0.6;-0.7;-0.8;-0.9;-1;-1.1;-1.2;-1.3;-1.4;-1.5;-1.6;-1.7;-1.8;-1.9;-2
"L-Lysine";0.00181636836719183;0.00181636836719183;0.00181636836719183;0.00181636836719183;0.00181636836719183;0.00181636836719183;0.00181636836719183;0.00181636836719183;0.00181636836719183;0.00181636836719183;0.00181636836719183;0.00181636836719183;0.00181636836719183;0.00181636836719183;0.00181636836719183;0.00181636836719183;0.00181636836719183;0.00181636836719183;0.00181636836719183;0.00181636836719183;0.00181636836719183
"L-Valine";0.0141395977863603;0.0141395977863603;0.0141395977863603;0.0141395977863603;0.0141395977863603;0.0141395977863603;0.0141395977863603;0.0141395977863603;0.0141395977863603;0.0141395977863603;0.0141395977863603;0.0141395977863603;0.0141395977863603;0.0141395977863603;0.0141395977863603;0.0141395977863603;0.0141395977863603;0.0141395977863603;0.0141395977863603;0.0141395977863603;0.0141395977863603
"L-Leucine";0.0376394670933535;0.0376394670933535;0.0376394670933535;0.0376394670933535;0.0376394670933535;0.0376394670933535;0.0376394670933535;0.0376394670933535;0.0376394670933535;0.0376394670933535;0.0376394670933535;0.0376394670933535;0.0376394670933535;0.0376394670933535;0.0376394670933535;0.0376394670933535;0.0376394670933535;0.0376394670933535;0.0376394670933535;0.0376394670933535;0.0376394670933535
"L-Isoleucine";0.0243234582606304;0.0243234582606304;0.0243234582606304;0.0243234582606304;0.0243234582606304;0.0243234582606304;0.0243234582606304;0.0243234582606304;0.0243234582606304;0.0243234582606304;0.0243234582606304;0.0243234582606304;0.0243234582606304;0.0243234582606304;0.0243234582606304;0.0243234582606304;0.0243234582606304;0.0243234582606304;0.0243234582606304;0.0243234582606304;0.0243234582606304
"L-Threonine";0.00385342582854613;0.00385342582854613;0.00385342582854613;0.00385342582854613;0.00385342582854613;0.00385342582854613;0.00385342582854613;0.00385342582854613;0.00385342582854613;0.00385342582854613;0.00385342582854613;0.00385342582854613;0.00385342582854613;0.00385342582854613;0.00385342582854613;0.00385342582854613;0.00385342582854613;0.00385342582854613;0.00385342582854613;0.00385342582854613;0.00385342582854613
"Glycine";0.0113220468399757;0.0113220468399757;0.0113220468399757;0.0113220468399757;0.0113220468399757;0.0113220468399757;0.0113220468399757;0.0113220468399757;0.0113220468399757;0.0113220468399757;0.0113220468399757;0.0113220468399757;0.0113220468399757;0.0113220468399757;0.0113220468399757;0.0113220468399757;0.0113220468399757;0.0113220468399757;0.0113220468399757;0.0113220468399757;0.0113220468399757
"L-Alanine";0.0044032331428499;0.0044032331428499;0.0044032331428499;0.0044032331428499;0.0044032331428499;0.0044032331428499;0.0044032331428499;0.0044032331428499;0.0044032331428499;0.0044032331428499;0.0044032331428499;0.0044032331428499;0.0044032331428499;0.0044032331428499;0.0044032331428499;0.0044032331428499;0.0044032331428499;0.0044032331428499;0.0044032331428499;0.0044032331428499;0.0044032331428499
"L-Glutamine";-0.000784705148959836;-0.000784705148959836;-0.000784705148959836;-0.000784705148959836;-0.000784705148959836;-0.000784705148959836;-0.000784705148959836;-0.000784705148959836;-0.000784705148959836;-0.000784705148959836;-0.000784705148959836;-0.000784705148959836;-0.000784705148959836;-0.000784705148959836;-0.000784705148959836;-0.000784705148959836;-0.000784705148959836;-0.000784705148959836;-0.000784705148959836;-0.000784705148959836;-0.000784705148959836
"L-Proline";0.00599230405585323;0.00599230405585323;0.00599230405585323;0.00599230405585323;0.00599230405585323;0.00599230405585323;0.00599230405585323;0.00599230405585323;0.00599230405585323;0.00599230405585323;0.00599230405585323;0.00599230405585323;0.00599230405585323;0.00599230405585323;0.00599230405585323;0.00599230405585323;0.00599230405585323;0.00599230405585323;0.00599230405585323;0.00599230405585323;0.00599230405585323
"L-Asparagine";0.0208387732429281;0.0208387732429281;0.0208387732429281;0.0208387732429281;0.0208387732429281;0.0208387732429281;0.0208387732429281;0.0208387732429281;0.0208387732429281;0.0208387732429281;0.0208387732429281;0.0208387732429281;0.0208387732429281;0.0208387732429281;0.0208387732429281;0.0208387732429281;0.0208387732429281;0.0208387732429281;0.0208387732429281;0.0208387732429281;0.0208387732429281
"L-Methionine";0.00520832539603184;0.00520832539603184;0.00520832539603184;0.00520832539603184;0.00520832539603184;0.00520832539603184;0.00520832539603184;0.00520832539603184;0.00520832539603184;0.00520832539603184;0.00520832539603184;0.00520832539603184;0.00520832539603184;0.00520832539603184;0.00520832539603184;0.00520832539603184;0.00520832539603184;0.00520832539603184;0.00520832539603184;0.00520832539603184;0.00520832539603184
"L-Tyrosine";0.0280710058646234;0.0280710058646234;0.0280710058646234;0.0280710058646234;0.0280710058646234;0.0280710058646234;0.0280710058646234;0.0280710058646234;0.0280710058646234;0.0280710058646234;0.0280710058646234;0.0280710058646234;0.0280710058646234;0.0280710058646234;0.0280710058646234;0.0280710058646234;0.0280710058646234;0.0280710058646234;0.0280710058646234;0.0280710058646234;0.0280710058646234
"L-Histidine";0.00963363053390158;0.00963363053390158;0.00963363053390158;0.00963363053390158;0.00963363053390158;0.00963363053390158;0.00963363053390158;0.00963363053390158;0.00963363053390158;0.00963363053390158;0.00963363053390158;0.00963363053390158;0.00963363053390158;0.00963363053390158;0.00963363053390158;0.00963363053390158;0.00963363053390158;0.00963363053390158;0.00963363053390158;0.00963363053390158;0.00963363053390158
"Phosphate ";0.00584496153678749;0.00584496153678749;0.00584496153678749;0.00584496153678749;0.00584496153678749;0.00584496153678749;0.00584496153678749;0.00584496153678749;0.00584496153678749;0.00584496153678749;0.00584496153678749;0.00584496153678749;0.00584496153678749;0.00584496153678749;0.00584496153678749;0.00584496153678749;0.00584496153678749;0.00584496153678749;0.00584496153678749;0.00584496153678749;0.00584496153678749
"Dihydroxyacetone phosphate";0.00960668929066179;0.00960668929066179;0.00960668929066179;0.00960668929066179;0.00960668929066179;0.00960668929066179;0.00960668929066179;0.00960668929066179;0.00960668929066179;0.00960668929066179;0.00960668929066179;0.00960668929066179;0.00960668929066179;0.00960668929066179;0.00960668929066179;0.00960668929066179;0.00960668929066179;0.00960668929066179;0.00960668929066179;0.00960668929066179;0.00960668929066179
"D-Ribose";-0.00035711961878515;-0.00035711961878515;-0.00035711961878515;-0.00035711961878515;-0.00035711961878515;-0.00035711961878515;-0.00035711961878515;-0.00035711961878515;-0.00035711961878515;-0.00035711961878515;-0.00035711961878515;-0.00035711961878515;-0.00035711961878515;-0.00035711961878515;-0.00035711961878515;-0.00035711961878515;-0.00035711961878515;-0.00035711961878515;-0.00035711961878515;-0.00035711961878515;-0.00035711961878515
