Var1;S2_1;S2_2;S2_3;S2_4;S2_5;S2_6;S2_7;S2_8;S2_9;S2_10;S2_11;S2_12;S2_13;S2_14;S2_15;S2_16;S2_17;S2_18;S2_19;S2_20;S2_21
"metabolite";0;-0.1;-0.2;-0.3;-0.4;-0.5;-0.6;-0.7;-0.8;-0.9;-1;-1.1;-1.2;-1.3;-1.4;-1.5;-1.6;-1.7;-1.8;-1.9;-2
"L-Lysine";0.189503020821242;0.189503020821242;0.189503020821242;0.189503020821242;0.189503020821242;0.189503020821242;0.189503020821242;0.189503020821242;0.189503020821242;0.189503020821242;0.189503020821242;0.189503020821242;0.189503020821242;0.189503020821242;0.189503020821242;0.189503020821242;0.189503020821242;0.189503020821242;0.189503020821242;0.189503020821242;0.189503020821242
"L-Valine";-0.00064800197926867;-0.00064800197926867;-0.00064800197926867;-0.00064800197926867;-0.00064800197926867;-0.00064800197926867;-0.00064800197926867;-0.00064800197926867;-0.00064800197926867;-0.00064800197926867;-0.00064800197926867;-0.00064800197926867;-0.00064800197926867;-0.00064800197926867;-0.00064800197926867;-0.00064800197926867;-0.00064800197926867;-0.00064800197926867;-0.00064800197926867;-0.00064800197926867;-0.00064800197926867
"L-Leucine";0.00653858856425797;0.00653858856425797;0.00653858856425797;0.00653858856425797;0.00653858856425797;0.00653858856425797;0.00653858856425797;0.00653858856425797;0.00653858856425797;0.00653858856425797;0.00653858856425797;0.00653858856425797;0.00653858856425797;0.00653858856425797;0.00653858856425797;0.00653858856425797;0.00653858856425797;0.00653858856425797;0.00653858856425797;0.00653858856425797;0.00653858856425797
"L-Isoleucine";0.00307297526452;0.00307297526452;0.00307297526452;0.00307297526452;0.00307297526452;0.00307297526452;0.00307297526452;0.00307297526452;0.00307297526452;0.00307297526452;0.00307297526452;0.00307297526452;0.00307297526452;0.00307297526452;0.00307297526452;0.00307297526452;0.00307297526452;0.00307297526452;0.00307297526452;0.00307297526452;0.00307297526452
"L-Threonine";0.000113615460074033;0.000113615460074033;0.000113615460074033;0.000113615460074033;0.000113615460074033;0.000113615460074033;0.000113615460074033;0.000113615460074033;0.000113615460074033;0.000113615460074033;0.000113615460074033;0.000113615460074033;0.000113615460074033;0.000113615460074033;0.000113615460074033;0.000113615460074033;0.000113615460074033;0.000113615460074033;0.000113615460074033;0.000113615460074033;0.000113615460074033
"Glycine";-0.00199950157418701;-0.00199950157418701;-0.00199950157418701;-0.00199950157418701;-0.00199950157418701;-0.00199950157418701;-0.00199950157418701;-0.00199950157418701;-0.00199950157418701;-0.00199950157418701;-0.00199950157418701;-0.00199950157418701;-0.00199950157418701;-0.00199950157418701;-0.00199950157418701;-0.00199950157418701;-0.00199950157418701;-0.00199950157418701;-0.00199950157418701;-0.00199950157418701;-0.00199950157418701
"L-Alanine";0.00871449091557923;0.00871449091557923;0.00871449091557923;0.00871449091557923;0.00871449091557923;0.00871449091557923;0.00871449091557923;0.00871449091557923;0.00871449091557923;0.00871449091557923;0.00871449091557923;0.00871449091557923;0.00871449091557923;0.00871449091557923;0.00871449091557923;0.00871449091557923;0.00871449091557923;0.00871449091557923;0.00871449091557923;0.00871449091557923;0.00871449091557923
"L-Glutamine";0.336823834468611;0.336823834468611;0.336823834468611;0.336823834468611;0.336823834468611;0.336823834468611;0.336823834468611;0.336823834468611;0.336823834468611;0.336823834468611;0.336823834468611;0.336823834468611;0.336823834468611;0.336823834468611;0.336823834468611;0.336823834468611;0.336823834468611;0.336823834468611;0.336823834468611;0.336823834468611;0.336823834468611
"L-Proline";-0.00051646976793017;-0.00051646976793017;-0.00051646976793017;-0.00051646976793017;-0.00051646976793017;-0.00051646976793017;-0.00051646976793017;-0.00051646976793017;-0.00051646976793017;-0.00051646976793017;-0.00051646976793017;-0.00051646976793017;-0.00051646976793017;-0.00051646976793017;-0.00051646976793017;-0.00051646976793017;-0.00051646976793017;-0.00051646976793017;-0.00051646976793017;-0.00051646976793017;-0.00051646976793017
