uk;V2_1;V2_2;V2_3;V2_4;V2_5;V2_6;V2_7;V2_8;V2_9;V2_10;V2_11;V2_12;V2_13;V2_14;V2_15;V2_16;V2_17;V2_18;V2_19;V2_20;V2_21
"mets";0;-0.1;-0.2;-0.3;-0.4;-0.5;-0.6;-0.7;-0.8;-0.9;-1;-1.1;-1.2;-1.3;-1.4;-1.5;-1.6;-1.7;-1.8;-1.9;-2
"2og_t";0.0641174370900234;0.066897012465614;0.0733924682369618;0.0798879240083097;0.0863833797796575;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852
"2os_t";0.0641174370900234;0.0706128928613712;0.077108348632719;0.0836038044040668;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852
"4a-hthbp_t";0.0641174370900234;0.0706128928613712;0.077108348632719;0.0836038044040668;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852
"7dclr_t";0.0641174370900234;0.0706128928613712;0.077108348632719;0.0836038044040668;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852
"AACCOAT";0.0641006944032271;0.0705961501745751;0.0770916059459229;0.0835870617172706;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671
"AAT_1";0.0641174370900234;0.0706128928613712;0.077108348632719;0.0836038044040668;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852
"AAT_2";0.0641174370900234;0.0706128928613712;0.077108348632719;0.0836038044040668;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852
"AAT_3";0.0641006944032271;0.0705961501745751;0.0770916059459229;0.0835870617172706;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671;0.0895854364645671
"ABTA";0.0641174370900234;0.0706128928613712;0.077108348632719;0.0836038044040668;0.0896019658031824;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852
"ACACDL";0.0641174370900234;0.0706128928613712;0.077108348632719;0.0836038044040668;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852
"ACACT1r";0.0641174370900234;0.0706128928613712;0.077108348632719;0.0836038044040668;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852
"ACADM";0.0641174370900234;0.0706128928613712;0.077108348632719;0.0836038044040668;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852
"ACAOR";0.0641174370900234;0.0706128928613712;0.077108348632719;0.0836038044040668;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852
"ACCOAL";0.0641174370900234;0.0706128928613712;0.077108348632719;0.0836038044040668;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852
"ACONTa";0.0641174370900234;0.0706128928613712;0.077108348632719;0.0836038044040668;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852;0.0896019658031852
