Var1;S1_1;S1_2;S1_3;S1_4;S1_5;S1_6;S1_7;S1_8;S1_9;S1_10;S1_11;S1_12;S1_13;S1_14;S1_15;S1_16;S1_17;S1_18;S1_19;S1_20;S1_21
"metabolite";0;-0.1;-0.2;-0.3;-0.4;-0.5;-0.6;-0.7;-0.8;-0.9;-1;-1.1;-1.2;-1.3;-1.4;-1.5;-1.6;-1.7;-1.8;-1.9;-2
"L-Alanine";0.000275366195313314;0.000275366195313314;0.000275366195313314;0.000275366195313314;0.000275366195313314;0.000275366195313314;0.000275366195313314;0.000275366195313314;0.000275366195313314;0.000275366195313314;0.000275366195313314;0.000275366195313314;0.000275366195313314;0.000275366195313314;0.000275366195313314;0.000275366195313314;0.000275366195313314;0.000275366195313314;0.000275366195313314;0.000275366195313314;0.000275366195313314
"L-Asparagine";0.00469621354417178;0.00469621354417178;0.00469621354417178;0.00469621354417178;0.00469621354417178;0.00469621354417178;0.00469621354417178;0.00469621354417178;0.00469621354417178;0.00469621354417178;0.00469621354417178;0.00469621354417178;0.00469621354417178;0.00469621354417178;0.00469621354417178;0.00469621354417178;0.00469621354417178;0.00469621354417178;0.00469621354417178;0.00469621354417178;0.00469621354417178
"L-Aspartate";-0.0079175437717986;-0.0079175437717986;-0.0079175437717986;-0.0079175437717986;-0.0079175437717986;-0.0079175437717986;-0.0079175437717986;-0.0079175437717986;-0.0079175437717986;-0.0079175437717986;-0.0079175437717986;-0.0079175437717986;-0.0079175437717986;-0.0079175437717986;-0.0079175437717986;-0.0079175437717986;-0.0079175437717986;-0.0079175437717986;-0.0079175437717986;-0.0079175437717986;-0.0079175437717986
"Citrate ";0.0108662722447532;0.0108662722447532;0.0108662722447532;0.0108662722447532;0.0108662722447532;0.0108662722447532;0.0108662722447532;0.0108662722447532;0.0108662722447532;0.0108662722447532;0.0108662722447532;0.0108662722447532;0.0108662722447532;0.0108662722447532;0.0108662722447532;0.0108662722447532;0.0108662722447532;0.0108662722447532;0.0108662722447532;0.0108662722447532;0.0108662722447532
"L-Citrulline";0.00928981902769402;0.00928981902769402;0.00928981902769402;0.00928981902769402;0.00928981902769402;0.00928981902769402;0.00928981902769402;0.00928981902769402;0.00928981902769402;0.00928981902769402;0.00928981902769402;0.00928981902769402;0.00928981902769402;0.00928981902769402;0.00928981902769402;0.00928981902769402;0.00928981902769402;0.00928981902769402;0.00928981902769402;0.00928981902769402;0.00928981902769402
"D-Fructose";-0.00430068740815142;-0.00430068740815142;-0.00430068740815142;-0.00430068740815142;-0.00430068740815142;-0.00430068740815142;-0.00430068740815142;-0.00430068740815142;-0.00430068740815142;-0.00430068740815142;-0.00430068740815142;-0.00430068740815142;-0.00430068740815142;-0.00430068740815142;-0.00430068740815142;-0.00430068740815142;-0.00430068740815142;-0.00430068740815142;-0.00430068740815142;-0.00430068740815142;-0.00430068740815142
"Fumarate";0.000984939397831132;0.000984939397831132;0.000984939397831132;0.000984939397831132;0.000984939397831132;0.000984939397831132;0.000984939397831132;0.000984939397831132;0.000984939397831132;0.000984939397831132;0.000984939397831132;0.000984939397831132;0.000984939397831132;0.000984939397831132;0.000984939397831132;0.000984939397831132;0.000984939397831132;0.000984939397831132;0.000984939397831132;0.000984939397831132;0.000984939397831132
"D-Glucose";0.00658551120623057;0.00658551120623057;0.00658551120623057;0.00658551120623057;0.00658551120623057;0.00658551120623057;0.00658551120623057;0.00658551120623057;0.00658551120623057;0.00658551120623057;0.00658551120623057;0.00658551120623057;0.00658551120623057;0.00658551120623057;0.00658551120623057;0.00658551120623057;0.00658551120623057;0.00658551120623057;0.00658551120623057;0.00658551120623057;0.00658551120623057
"L-Glutamine";-0.00528306398985153;-0.00528306398985153;-0.00528306398985153;-0.00528306398985153;-0.00528306398985153;-0.00528306398985153;-0.00528306398985153;-0.00528306398985153;-0.00528306398985153;-0.00528306398985153;-0.00528306398985153;-0.00528306398985153;-0.00528306398985153;-0.00528306398985153;-0.00528306398985153;-0.00528306398985153;-0.00528306398985153;-0.00528306398985153;-0.00528306398985153;-0.00528306398985153;-0.00528306398985153
"Glycine ";0.00801423057449725;0.00801423057449725;0.00801423057449725;0.00801423057449725;0.00801423057449725;0.00801423057449725;0.00801423057449725;0.00801423057449725;0.00801423057449725;0.00801423057449725;0.00801423057449725;0.00801423057449725;0.00801423057449725;0.00801423057449725;0.00801423057449725;0.00801423057449725;0.00801423057449725;0.00801423057449725;0.00801423057449725;0.00801423057449725;0.00801423057449725
