Var1;S2_1;S2_2;S2_3;S2_4;S2_5;S2_6;S2_7;S2_8;S2_9;S2_10;S2_11;S2_12;S2_13;S2_14;S2_15;S2_16;S2_17;S2_18;S2_19;S2_20;S2_21
"metabolite";0;-0.1;-0.2;-0.3;-0.4;-0.5;-0.6;-0.7;-0.8;-0.9;-1;-1.1;-1.2;-1.3;-1.4;-1.5;-1.6;-1.7;-1.8;-1.9;-2
"L-Alanine";-0.0205180925141956;-0.0205180925141956;-0.0205180925141956;-0.0205180925141956;-0.0205180925141956;-0.0205180925141956;-0.0205180925141956;-0.0205180925141956;-0.0205180925141956;-0.0205180925141956;-0.0205180925141956;-0.0205180925141956;-0.0205180925141956;-0.0205180925141956;-0.0205180925141956;-0.0205180925141956;-0.0205180925141956;-0.0205180925141956;-0.0205180925141956;-0.0205180925141956;-0.0205180925141956
"L-Asparagine";-0.000864590741859999;-0.000864590741859999;-0.000864590741859999;-0.000864590741859999;-0.000864590741859999;-0.000864590741859999;-0.000864590741859999;-0.000864590741859999;-0.000864590741859999;-0.000864590741859999;-0.000864590741859999;-0.000864590741859999;-0.000864590741859999;-0.000864590741859999;-0.000864590741859999;-0.000864590741859999;-0.000864590741859999;-0.000864590741859999;-0.000864590741859999;-0.000864590741859999;-0.000864590741859999
"L-Aspartate";-0.00439095552932656;-0.00439095552932656;-0.00439095552932656;-0.00439095552932656;-0.00439095552932656;-0.00439095552932656;-0.00439095552932656;-0.00439095552932656;-0.00439095552932656;-0.00439095552932656;-0.00439095552932656;-0.00439095552932656;-0.00439095552932656;-0.00439095552932656;-0.00439095552932656;-0.00439095552932656;-0.00439095552932656;-0.00439095552932656;-0.00439095552932656;-0.00439095552932656;-0.00439095552932656
"Citrate ";0.000986809752409502;0.000986809752409502;0.000986809752409502;0.000986809752409502;0.000986809752409502;0.000986809752409502;0.000986809752409502;0.000986809752409502;0.000986809752409502;0.000986809752409502;0.000986809752409502;0.000986809752409502;0.000986809752409502;0.000986809752409502;0.000986809752409502;0.000986809752409502;0.000986809752409502;0.000986809752409502;0.000986809752409502;0.000986809752409502;0.000986809752409502
"L-Citrulline";-0.0286036925395468;-0.0286036925395468;-0.0286036925395468;-0.0286036925395468;-0.0286036925395468;-0.0286036925395468;-0.0286036925395468;-0.0286036925395468;-0.0286036925395468;-0.0286036925395468;-0.0286036925395468;-0.0286036925395468;-0.0286036925395468;-0.0286036925395468;-0.0286036925395468;-0.0286036925395468;-0.0286036925395468;-0.0286036925395468;-0.0286036925395468;-0.0286036925395468;-0.0286036925395468
"D-Fructose";0.022972112626952;0.022972112626952;0.022972112626952;0.022972112626952;0.022972112626952;0.022972112626952;0.022972112626952;0.022972112626952;0.022972112626952;0.022972112626952;0.022972112626952;0.022972112626952;0.022972112626952;0.022972112626952;0.022972112626952;0.022972112626952;0.022972112626952;0.022972112626952;0.022972112626952;0.022972112626952;0.022972112626952
"Fumarate";0.000293738693971528;0.000293738693971528;0.000293738693971528;0.000293738693971528;0.000293738693971528;0.000293738693971528;0.000293738693971528;0.000293738693971528;0.000293738693971528;0.000293738693971528;0.000293738693971528;0.000293738693971528;0.000293738693971528;0.000293738693971528;0.000293738693971528;0.000293738693971528;0.000293738693971528;0.000293738693971528;0.000293738693971528;0.000293738693971528;0.000293738693971528
"D-Glucose";-0.0192815095698374;-0.0192815095698374;-0.0192815095698374;-0.0192815095698374;-0.0192815095698374;-0.0192815095698374;-0.0192815095698374;-0.0192815095698374;-0.0192815095698374;-0.0192815095698374;-0.0192815095698374;-0.0192815095698374;-0.0192815095698374;-0.0192815095698374;-0.0192815095698374;-0.0192815095698374;-0.0192815095698374;-0.0192815095698374;-0.0192815095698374;-0.0192815095698374;-0.0192815095698374
"L-Glutamine";0.00489617694977552;0.00489617694977552;0.00489617694977552;0.00489617694977552;0.00489617694977552;0.00489617694977552;0.00489617694977552;0.00489617694977552;0.00489617694977552;0.00489617694977552;0.00489617694977552;0.00489617694977552;0.00489617694977552;0.00489617694977552;0.00489617694977552;0.00489617694977552;0.00489617694977552;0.00489617694977552;0.00489617694977552;0.00489617694977552;0.00489617694977552
"Glycine ";-0.00130810839623364;-0.00130810839623364;-0.00130810839623364;-0.00130810839623364;-0.00130810839623364;-0.00130810839623364;-0.00130810839623364;-0.00130810839623364;-0.00130810839623364;-0.00130810839623364;-0.00130810839623364;-0.00130810839623364;-0.00130810839623364;-0.00130810839623364;-0.00130810839623364;-0.00130810839623364;-0.00130810839623364;-0.00130810839623364;-0.00130810839623364;-0.00130810839623364;-0.00130810839623364
"L-Histidine";0.0054392415680079;0.0054392415680079;0.0054392415680079;0.0054392415680079;0.0054392415680079;0.0054392415680079;0.0054392415680079;0.0054392415680079;0.0054392415680079;0.0054392415680079;0.0054392415680079;0.0054392415680079;0.0054392415680079;0.0054392415680079;0.0054392415680079;0.0054392415680079;0.0054392415680079;0.0054392415680079;0.0054392415680079;0.0054392415680079;0.0054392415680079
"Hypoxanthine ";-0.0105007922371079;-0.0105007922371079;-0.0105007922371079;-0.0105007922371079;-0.0105007922371079;-0.0105007922371079;-0.0105007922371079;-0.0105007922371079;-0.0105007922371079;-0.0105007922371079;-0.0105007922371079;-0.0105007922371079;-0.0105007922371079;-0.0105007922371079;-0.0105007922371079;-0.0105007922371079;-0.0105007922371079;-0.0105007922371079;-0.0105007922371079;-0.0105007922371079;-0.0105007922371079
"Inosine";0.0091381225591015;0.0091381225591015;0.0091381225591015;0.0091381225591015;0.0091381225591015;0.0091381225591015;0.0091381225591015;0.0091381225591015;0.0091381225591015;0.0091381225591015;0.0091381225591015;0.0091381225591015;0.0091381225591015;0.0091381225591015;0.0091381225591015;0.0091381225591015;0.0091381225591015;0.0091381225591015;0.0091381225591015;0.0091381225591015;0.0091381225591015
"myo-Inositol";0.00692307803144652;0.00692307803144652;0.00692307803144652;0.00692307803144652;0.00692307803144652;0.00692307803144652;0.00692307803144652;0.00692307803144652;0.00692307803144652;0.00692307803144652;0.00692307803144652;0.00692307803144652;0.00692307803144652;0.00692307803144652;0.00692307803144652;0.00692307803144652;0.00692307803144652;0.00692307803144652;0.00692307803144652;0.00692307803144652;0.00692307803144652
"L-Isoleucine";0.00978095351619462;0.00978095351619462;0.00978095351619462;0.00978095351619462;0.00978095351619462;0.00978095351619462;0.00978095351619462;0.00978095351619462;0.00978095351619462;0.00978095351619462;0.00978095351619462;0.00978095351619462;0.00978095351619462;0.00978095351619462;0.00978095351619462;0.00978095351619462;0.00978095351619462;0.00978095351619462;0.00978095351619462;0.00978095351619462;0.00978095351619462
"L-Leucine";0.0096113877197851;0.0096113877197851;0.0096113877197851;0.0096113877197851;0.0096113877197851;0.0096113877197851;0.0096113877197851;0.0096113877197851;0.0096113877197851;0.0096113877197851;0.0096113877197851;0.0096113877197851;0.0096113877197851;0.0096113877197851;0.0096113877197851;0.0096113877197851;0.0096113877197851;0.0096113877197851;0.0096113877197851;0.0096113877197851;0.0096113877197851
"L-Lysine";0.0269065192708057;0.0269065192708057;0.0269065192708057;0.0269065192708057;0.0269065192708057;0.0269065192708057;0.0269065192708057;0.0269065192708057;0.0269065192708057;0.0269065192708057;0.0269065192708057;0.0269065192708057;0.0269065192708057;0.0269065192708057;0.0269065192708057;0.0269065192708057;0.0269065192708057;0.0269065192708057;0.0269065192708057;0.0269065192708057;0.0269065192708057
"L-Malate";-0.000963257467173946;-0.000963257467173946;-0.000963257467173946;-0.000963257467173946;-0.000963257467173946;-0.000963257467173946;-0.000963257467173946;-0.000963257467173946;-0.000963257467173946;-0.000963257467173946;-0.000963257467173946;-0.000963257467173946;-0.000963257467173946;-0.000963257467173946;-0.000963257467173946;-0.000963257467173946;-0.000963257467173946;-0.000963257467173946;-0.000963257467173946;-0.000963257467173946;-0.000963257467173946
"Maltose ";-0.0023630924410875;-0.0023630924410875;-0.0023630924410875;-0.0023630924410875;-0.0023630924410875;-0.0023630924410875;-0.0023630924410875;-0.0023630924410875;-0.0023630924410875;-0.0023630924410875;-0.0023630924410875;-0.0023630924410875;-0.0023630924410875;-0.0023630924410875;-0.0023630924410875;-0.0023630924410875;-0.0023630924410875;-0.0023630924410875;-0.0023630924410875;-0.0023630924410875;-0.0023630924410875
"L-Methionine";0.00272532429236321;0.00272532429236321;0.00272532429236321;0.00272532429236321;0.00272532429236321;0.00272532429236321;0.00272532429236321;0.00272532429236321;0.00272532429236321;0.00272532429236321;0.00272532429236321;0.00272532429236321;0.00272532429236321;0.00272532429236321;0.00272532429236321;0.00272532429236321;0.00272532429236321;0.00272532429236321;0.00272532429236321;0.00272532429236321;0.00272532429236321
"Nicotinamide adenine dinucleotide";-0.0175069731540988;-0.0175069731540988;-0.0175069731540988;-0.0175069731540988;-0.0175069731540988;-0.0175069731540988;-0.0175069731540988;-0.0175069731540988;-0.0175069731540988;-0.0175069731540988;-0.0175069731540988;-0.0175069731540988;-0.0175069731540988;-0.0175069731540988;-0.0175069731540988;-0.0175069731540988;-0.0175069731540988;-0.0175069731540988;-0.0175069731540988;-0.0175069731540988;-0.0175069731540988
"L-Ornithine";0.00384219450004691;0.00384219450004691;0.00384219450004691;0.00384219450004691;0.00384219450004691;0.00384219450004691;0.00384219450004691;0.00384219450004691;0.00384219450004691;0.00384219450004691;0.00384219450004691;0.00384219450004691;0.00384219450004691;0.00384219450004691;0.00384219450004691;0.00384219450004691;0.00384219450004691;0.00384219450004691;0.00384219450004691;0.00384219450004691;0.00384219450004691
"L-phenylalanine";-0.0034118869779887;-0.0034118869779887;-0.0034118869779887;-0.0034118869779887;-0.0034118869779887;-0.0034118869779887;-0.0034118869779887;-0.0034118869779887;-0.0034118869779887;-0.0034118869779887;-0.0034118869779887;-0.0034118869779887;-0.0034118869779887;-0.0034118869779887;-0.0034118869779887;-0.0034118869779887;-0.0034118869779887;-0.0034118869779887;-0.0034118869779887;-0.0034118869779887;-0.0034118869779887
"Phosphate";0.0016650861442927;0.0016650861442927;0.0016650861442927;0.0016650861442927;0.0016650861442927;0.0016650861442927;0.0016650861442927;0.0016650861442927;0.0016650861442927;0.0016650861442927;0.0016650861442927;0.0016650861442927;0.0016650861442927;0.0016650861442927;0.0016650861442927;0.0016650861442927;0.0016650861442927;0.0016650861442927;0.0016650861442927;0.0016650861442927;0.0016650861442927
"L-Proline";0.0178936197250139;0.0178936197250139;0.0178936197250139;0.0178936197250139;0.0178936197250139;0.0178936197250139;0.0178936197250139;0.0178936197250139;0.0178936197250139;0.0178936197250139;0.0178936197250139;0.0178936197250139;0.0178936197250139;0.0178936197250139;0.0178936197250139;0.0178936197250139;0.0178936197250139;0.0178936197250139;0.0178936197250139;0.0178936197250139;0.0178936197250139
"L-Serine";0.0184068030967527;0.0184068030967527;0.0184068030967527;0.0184068030967527;0.0184068030967527;0.0184068030967527;0.0184068030967527;0.0184068030967527;0.0184068030967527;0.0184068030967527;0.0184068030967527;0.0184068030967527;0.0184068030967527;0.0184068030967527;0.0184068030967527;0.0184068030967527;0.0184068030967527;0.0184068030967527;0.0184068030967527;0.0184068030967527;0.0184068030967527
"succinic acid";-0.023664236223185;-0.023664236223185;-0.023664236223185;-0.023664236223185;-0.023664236223185;-0.023664236223185;-0.023664236223185;-0.023664236223185;-0.023664236223185;-0.023664236223185;-0.023664236223185;-0.023664236223185;-0.023664236223185;-0.023664236223185;-0.023664236223185;-0.023664236223185;-0.023664236223185;-0.023664236223185;-0.023664236223185;-0.023664236223185;-0.023664236223185
"L-Threonine";0.00869023108420288;0.00869023108420288;0.00869023108420288;0.00869023108420288;0.00869023108420288;0.00869023108420288;0.00869023108420288;0.00869023108420288;0.00869023108420288;0.00869023108420288;0.00869023108420288;0.00869023108420288;0.00869023108420288;0.00869023108420288;0.00869023108420288;0.00869023108420288;0.00869023108420288;0.00869023108420288;0.00869023108420288;0.00869023108420288;0.00869023108420288
