Var1;Var2
"CBPS";0
"ABTA";0.0880568358845721
"AGT_1";0
"ATCase";0
"ADSS";0.000128879999999221
"AO";0
"AS";0
"ADSLR";0.000128879999999221
"GF6PTA";0.00229408443476586
"GLUSY";0
"GLUSX";0
"GLUDC";0.088056835884584
"OA_1";-0.0394851544303947
"OA_2";0
"SSALY";0.088056835884584
"NO";0
"ARGAH";0
"g5sa_TO_p5c";0
"OAT";0
"P5CR";0
"GLUD";0
"GLUDX";0.0741920977675363
"ALOA";0
"AGS";0
"ALT";-0.0786419210007807
"AAT_1";0
"ASS";0
"GLNS";0.0348358233371614
"OCT";0
"GLUN";0
"GAT";0
"ASL";0
"BIOMASS";0.0879946356806926
"CS";0.196331680256987
"ACONTb";0.196331680257003
"AKGDm";0.0252920284533741
"SUCOAS1m";0.171039651803653
"ACONTa";0.196331680257003
"FUM";0.221752588710387
"ICDHyr";0.196331680257003
"MDH";0.196331680257003
"SUCD1m";0.0252920284533502
"CGL";0.00012888
"HCYSMT";-0.00012888000003386
"CYSTS";0.00012888
"EX_glucu(e)";0
"EX_2og(e)";0.0394851544303582
"EX_2os(e)";0
"EX_ac(e)";0
"EX_acp(e)";0
"EX_asuccin(e)";0.088056835884584
"EX_co2";0.542751763173919
"EX_dextrin(e)";0
"EX_fic3(e)";0
"EX_foc3(e)";0
"EX_gam6p(e)";0.00229408443474197
"EX_gdl(e)";0
"EX_glc__D";0
"EX_h2o";0.00364560972195704
"EX_i(e)";-0.000128879999999221
"EX_lald__D(e)";0
"EX_L-args(e)";0
"EX_L-cit(e)";0
"EX_malcoa(e)";0
"EX_o2";-0.405309374740682
"EX_r1p(e)";0
"EX_rib-D(e)";0
"EX_sucr";-0.0356451543641643
"EX_Tre";0
"EX_4a-hthbp(e)";0
"EX_7dclr(e)";0
"EX_a(e)";0
"EX_agc(e)";0
"EX_choline(e)";0
"EX_clr(e)";-0.00028703762164406
"EX_fadh2(e)";0.00012888000003386
"EX_g(e)";0
"EX_hb(e)";0
"EX_ins(e)";0
"EX_ins4p(e)";0
"EX_lpc(e)";0
"EX_maldex";0
"EX_mmet(e)";0.00012888
"EX_no(e)";0
"EX_RIBFLV(e)";-0.00012888
"EX_urd(e)";0
"EX_urea(e)";0
"EX_lac__L_e";0
"EX_accoa";0
"EX_ala(e)";0
"EX_arg(e)";-0.00638236531894701
"EX_asn(e)";-0.00782190828168716
"EX_asp(e)";-0.00809454511799795
"EX_cys(e)";-0.00470903075181656
"EX_gln-L(e)";0.024989734806863
"EX_glu-L(e)";0
"EX_gly(e)";0.449915629428791
"EX_his(e)";-0.00345847164503174
"EX_ile(e)";-0.00760025507408563
"EX_leu(e)";-0.0137551577795835
"EX_lys(e)";-0.00898482866786243
"EX_met(e)";-0.00343953515297289
"EX_phe(e)";-0.00419509321918832
"EX_pro(e)";-0.0124717524983952
"EX_ser(e)";0.0404578715558531
"EX_thr(e)";-0.4808948
"EX_trp(e)";-0.00107027875378424
"EX_tyr(e)";-0.20507447
"EX_val(e)";-0.0106639405460287
"FASN";0.073842029890291
"ACS3";0.073842029890291
"PTHS";0
"GTPCH";0
"SR";0
"AGC2AGC";0
"AG3PPA";-5.95057408791422
"AGAT";5.97518809787766
"MGK";5.97518809787766
"MAGlipase";0
"DGK";0
"GK";0.0246140099634303
"DGA";0.0246140099634303
"HSL";0
"ALR2";-0.0265683884208556
"ALR1";0
"DSNGAH";0
"DPP1";-5.95057408791422
"PAP";0
"AHD";-0.0265683884208556
"GPPA";0.0246140099634303
"TGL";0
"CK";0
"CCT";0
"CDP-DG";0
"CPT";0
"LPCAT";0
"LCAT";0
"PLC";0
